Aspirador Robô IROBOT Roomba I5 Cinza Texturizado;299
Aspirador Robô XIAOMI Mi Robot Vacuum Mop 2 Ex;229
Aspirador Robô IKOHS NETBOT S18 (Autonomia 120 min);299
Aspirador Robô IROBOT Roomba i7+ (Autonomia 75 min - Cinza Carvão);599
Aspirador Robô IROBOT Roomba I6 Champanhe;649
Aspirador Robô XIAOMI Mi Vacuum Mop 2 Pro (Autonomia 180 min - Branco);299
Aspirador Robô XIAOMI Vacuum Mop 2 Pro (Autonomia 180 min - Preto);299
Aspirador Robô IROBOT Roomba I4+ (Autonomia 90 min - Cinza Texturizado);729
Aspirador Robô IROBOT Roomba i7158 (Autonomia 75 min - Cinza Carvão);399
Aspirador Robô IROBOT Roomba 698 Wi-fi (Autonomia 90 min - Cinza médio);169
Aspirador Robô ROWENTA X-Plorer Serie 45 Aqua RR8265WH (Autonomia 150 min);149
Aspirador Robô HOOVER H-Go 300 Hydro HGO320H 011 (14.8 V - Autonomia 120 min);159
Robot Esfregona Recarregável 4 em 1 com Desinfecção UV e Humidificador Aromatizante Klinbot InnovaGoods;17
Aspirador Robô ROWENTA X-Plorer Serie 60 Allergy Kit Branco RR7447WH (Autonomia 90 min);279
Aspirador Robô + Mopa IROBOT Roomba Combo (Autonomia 100 min - Cinzento);249
Aspirador Robô IROBOT Roomba S9+ (Autonomia 120 min - Preto mate);999
Aspirador Robô CREATE NETBOT S40 (Autonomia 120 min);175
Mopa Robô IROBOT Braava Jet M6 (Autonomia 90 min - Branco);449
Aspirador Robô VILEDA VR 201 PetPro (Autonomia 90 min);199
Robot Esfregona Recarregável Klinmop InnovaGoods;11
Aspirador Robô ROWENTA X-Plorer S120 RR7865WH (Autonomia 120 min);449
Aspirador Robô XIAOMI Vacuum Mop 2 Ultra Preto;399
Aspirador Robô VILEDA VR 102 (Autonomia 90 min);149
Aspirador Robô CREATE Netbot S15 2.0 + Vinil Autocolante CREATE "Don't Stop Me Now" (Autonomia 120 min);125
Aspirador Robô NEATSVOR X500 3 em 1 (Autonomia 120 min);249
Aspirador Robô NEATSVOR X520 (Autonomia 180 min);287
Aspirador Robô CECOTEC Conga 2290 Ultra Home (Autonomia 160 min - Preto);207
Aspirador Robô IS25A-1 (1000 ml);34
Aspirador Robô NEATSVOR S600 (Autonomia 180 min);547
Aspirador Robô IROBOT Roomba J7+ Grafite;699
Recargas de Esfregona para Robot InnovaGoods Pack de 50 uds;6
Aspirador Robô ROWENTA X-plorer Serie 45 RR8225WH (Autonomia 150 min);266
Aspirador Robot WËASY TRC50 (Autonomia 50 min);79
Aspirador Robô CREATE NETBOT S15 2.0 PROTOOL (120 min);125
Aspirador Robô ROWENTA X-Plorer Serie 50 RR7335WH (Autonomia 120 min);234
Aspirador Robô ALIN982 (1000 ml);32
Aspiradores Robô ROBOROCK Roborock S7 Pro Ultra;1016
Aspirador Robô XIAOMI Roidmi Eve Plus (Autonomia 250 min - Branco);428
Aspirador Robô ROWENTA X-Plorer 75 RR7675WH Ação 4 em 1 (Autonomia 150 mim);442
Aspirador Robô IROBOT Roomba J7 Grafite;499
Aspirador Robô IKOHS Netbot S15;229
Aspirador Robô CREATE Netbot 15 2.0 Estilo + Vinil Autocolante CREATE "Follow Me" (Autonomia 120 min);125
Aspirador Robô ES29-2 (1000 ml);40
Aspirador Robô CREATE Netbot S15 2.0 + Vinil Autocolante CREATE "I Will Survive" (Autonomia 120 min);730
Aspirador Robô ALIN160-2 (1000 ml);64
Aspirador Robô NEATSVOR X600 (Autonomia 120 min);377
Aspirador Robô PRIXTON Siesta (Autonomia: 120 min);119
Aspirador Robô XIAOMI Dreame F9 (Autonomia 150 min - Branco);224
Aspirador Robô IROBOT Roomba I5 Cinza Texturizado;299
Aspirador Robô XIAOMI Mi Robot Vacuum Mop 2 Ex;229
Aspirador Robô IKOHS NETBOT S18 (Autonomia 120 min);299
Aspirador Robô IROBOT Roomba i7+ (Autonomia 75 min - Cinza Carvão);599
Aspirador Robô IROBOT Roomba I6 Champanhe;649
